x1;y1;x2;y2;binario;index;;Seg
0;10;20;10;0;0;;20
20;10;40;10;0;1;;
40;10;60;10;0;2;;
60;10;80;10;0;3;;
80;10;100;10;0;4;;
100;10;120;10;0;5;;
120;10;140;10;0;6;;
140;10;160;10;0;7;;
160;10;180;10;0;8;;
180;10;200;10;0;9;;
200;10;220;10;0;10;;
220;10;240;10;0;11;;
240;10;260;10;0;12;;
260;10;280;10;1;13;;
280;10;300;10;1;14;;
300;10;320;10;1;15;;
320;10;340;10;1;16;;
340;10;360;10;1;17;;
360;10;380;10;1;18;;
380;10;400;10;1;19;;
400;10;420;10;1;20;;
420;10;440;10;1;21;;
440;10;460;10;1;22;;
460;10;480;10;1;23;;
480;10;500;10;1;24;;
500;10;520;10;1;25;;
520;10;540;10;1;26;;
540;10;560;10;1;27;;
560;10;580;10;1;28;;
580;10;600;10;1;29;;
600;10;620;10;1;30;;
620;10;640;10;1;31;;
640;10;660;10;1;32;;
660;10;680;10;1;33;;
680;10;700;10;1;34;;
700;10;720;10;1;35;;
20;410;40;410;1;36;;
40;410;60;410;1;37;;
60;410;80;410;1;38;;
80;410;100;410;1;39;;
100;410;120;410;1;40;;
120;410;140;410;1;41;;
140;410;160;410;1;42;;
160;410;180;410;1;43;;
180;410;200;410;1;44;;
200;410;220;410;1;45;;
220;410;240;410;1;46;;
240;410;260;410;1;47;;
260;410;280;410;1;48;;
280;410;300;410;1;49;;
300;410;320;410;0;50;;
320;410;340;410;0;51;;
340;410;360;410;1;52;;
360;410;380;410;1;53;;
380;410;400;410;1;54;;
400;410;420;410;1;55;;
420;410;440;410;1;56;;
440;410;460;410;1;57;;
460;410;480;410;1;58;;
480;410;500;410;1;59;;
500;410;520;410;1;60;;
520;410;540;410;1;61;;
540;410;560;410;1;62;;
560;410;580;410;1;63;;
580;410;600;410;1;64;;
600;410;620;410;1;65;;
620;410;640;410;1;66;;
640;410;660;410;1;67;;
660;410;680;410;1;68;;
680;410;700;410;1;69;;
700;410;720;410;1;70;;
0;810;20;810;1;71;;
20;810;40;810;1;72;;
40;810;60;810;1;73;;
60;810;80;810;1;74;;
80;810;100;810;1;75;;
100;810;120;810;1;76;;
120;810;140;810;1;77;;
140;810;160;810;1;78;;
160;810;180;810;1;79;;
180;810;200;810;1;80;;
200;810;220;810;1;81;;
220;810;240;810;1;82;;
240;810;260;810;1;83;;
260;810;280;810;1;84;;
280;810;300;810;1;85;;
300;810;320;810;1;86;;
320;810;340;810;1;87;;
340;810;360;810;1;88;;
360;810;380;810;1;89;;
380;810;400;810;1;90;;
400;810;420;810;1;91;;
420;810;440;810;1;92;;
440;810;460;810;1;93;;
460;810;480;810;1;94;;
480;810;500;810;1;95;;
500;810;520;810;1;96;;
520;810;540;810;1;97;;
540;810;560;810;1;98;;
560;810;580;810;1;99;;
580;810;600;810;1;100;;
600;810;620;810;1;101;;
620;810;640;810;1;102;;
640;810;660;810;1;103;;
660;810;680;810;1;104;;
680;810;700;810;1;105;;
700;810;720;810;1;106;;
10;20;10;40;1;107;;
10;40;10;60;0;108;;
10;60;10;80;0;109;;
10;80;10;100;0;110;;
10;100;10;120;0;111;;
10;120;10;140;0;112;;
10;140;10;160;0;113;;
10;160;10;180;0;114;;
10;180;10;200;0;115;;
10;200;10;220;0;116;;
10;220;10;240;0;117;;
10;240;10;260;0;118;;
10;260;10;280;0;119;;
10;280;10;300;0;120;;
10;300;10;320;0;121;;
10;320;10;340;0;122;;
10;340;10;360;0;123;;
10;360;10;380;0;124;;
10;380;10;400;0;125;;
10;400;10;420;1;126;;
10;420;10;440;1;127;;
10;440;10;460;1;128;;
10;460;10;480;1;129;;
10;480;10;500;1;130;;
10;500;10;520;1;131;;
10;520;10;540;1;132;;
10;540;10;560;1;133;;
10;560;10;580;1;134;;
10;580;10;600;1;135;;
10;600;10;620;1;136;;
10;620;10;640;1;137;;
10;640;10;660;1;138;;
10;660;10;680;0;139;;
10;680;10;700;0;140;;
10;700;10;720;0;141;;
10;720;10;740;0;142;;
10;740;10;760;0;143;;
10;760;10;780;0;144;;
10;780;10;800;0;145;;
360;20;360;40;1;146;;
360;40;360;60;1;147;;
360;60;360;80;1;148;;
360;80;360;100;1;149;;
360;100;360;120;1;150;;
360;120;360;140;1;151;;
360;140;360;160;1;152;;
360;160;360;180;1;153;;
360;180;360;200;1;154;;
360;200;360;220;1;155;;
360;220;360;240;1;156;;
360;240;360;260;1;157;;
360;260;360;280;1;158;;
360;280;360;300;1;159;;
360;300;360;320;1;160;;
360;320;360;340;1;161;;
360;340;360;360;1;162;;
360;360;360;380;1;163;;
360;380;360;400;1;164;;
360;420;360;440;1;165;;
360;440;360;460;0;166;;
360;460;360;480;0;167;;
360;480;360;500;0;168;;
360;500;360;520;0;169;;
360;520;360;540;0;170;;
360;540;360;560;0;171;;
360;560;360;580;0;172;;
360;580;360;600;1;173;;
360;600;360;620;1;174;;
360;620;360;640;1;175;;
360;640;360;660;1;176;;
360;660;360;680;1;177;;
360;680;360;700;1;178;;
360;700;360;720;1;179;;
360;720;360;740;1;180;;
360;740;360;760;1;181;;
360;760;360;780;1;182;;
360;780;360;800;1;183;;
710;20;710;40;1;184;;
710;40;710;60;1;185;;
710;60;710;80;1;186;;
710;80;710;100;1;187;;
710;100;710;120;1;188;;
710;120;710;140;1;189;;
710;140;710;160;1;190;;
710;160;710;180;1;191;;
710;180;710;200;1;192;;
710;200;710;220;1;193;;
710;220;710;240;1;194;;
710;240;710;260;1;195;;
710;260;710;280;1;196;;
710;280;710;300;1;197;;
710;300;710;320;1;198;;
710;320;710;340;1;199;;
710;340;710;360;1;200;;
710;360;710;380;0;201;;
710;380;710;400;0;202;;
710;400;710;420;0;203;;
710;420;710;440;0;204;;
710;440;710;460;1;205;;
710;460;710;480;1;206;;
710;480;710;500;1;207;;
710;500;710;520;1;208;;
710;520;710;540;1;209;;
710;540;710;560;1;210;;
710;560;710;580;1;211;;
710;580;710;600;1;212;;
710;600;710;620;1;213;;
710;620;710;640;1;214;;
710;640;710;660;1;215;;
710;660;710;680;1;216;;
710;680;710;700;1;217;;
710;700;710;720;1;218;;
710;720;710;740;1;219;;
710;740;710;760;1;220;;
710;760;710;780;1;221;;
710;780;710;800;1;222;;
