x;y;dx;dy;length;maxlength;group_id
0;10;1;0;20;175;0
10;0;0;1;20;200;1
360;10;-1;0;10;175;2
360;10;1;0;10;175;2
360;10;0;1;10;200;3
720;10;-1;0;20;175;0
710;0;0;1;20;200;1
10;410;1;0;10;175;4
10;410;0;-1;10;200;5
10;410;0;1;10;200;5
360;410;1;0;10;175;6
360;410;-1;0;10;175;6
360;410;0;1;10;200;7
360;410;0;-1;10;200;7
710;410;-1;0;10;175;4
710;410;0;1;10;200;5
710;410;0;-1;10;200;5
0;810;1;0;20;175;0
10;820;0;-1;20;200;1
360;810;1;0;10;175;2
360;810;-1;0;10;175;2
360;810;0;-1;10;200;3
720;810;-1;0;20;175;0
710;820;0;-1;20;200;1
