x;y;dx;dy;length;maxlength;end_x;end_y
0;10;1;0;60.0;175;60.0;10.0
10;0;0;1;140.0;200;10.0;140.0
360;10;-1;0;20.0;175;340.0;10.0
360;10;1;0;20.0;175;380.0;10.0
360;10;0;1;20.0;200;360.0;30.0
720;10;-1;0;20.0;175;700.0;10.0
710;0;0;1;160.0;200;710.0;160.0
10;410;1;0;20.0;175;30.0;410.0
10;410;0;-1;80.0;200;10.0;330.0
10;410;0;1;160.0;200;10.0;570.0
360;410;1;0;60.0;175;420.0;410.0
360;410;-1;0;20.0;175;340.0;410.0
360;410;0;1;80.0;200;360.0;490.0
360;410;0;-1;20.0;200;360.0;390.0
710;410;-1;0;100.0;175;610.0;410.0
710;410;0;1;120.0;200;710.0;530.0
710;410;0;-1;60.0;200;710.0;350.0
0;810;1;0;20.0;175;20.0;810.0
10;820;0;-1;20.0;200;10.0;800.0
360;810;1;0;20.0;175;380.0;810.0
360;810;-1;0;120.0;175;240.0;810.0
360;810;0;-1;40.0;200;360.0;770.0
720;810;-1;0;40.0;175;680.0;810.0
710;820;0;-1;160.0;200;710.0;660.0
