x;y;dx;dy;length;maxlength;group_id;end_x;end_y
0;10;1;0;40;175;0;40;10
10;0;0;1;60;200;1;10;60
360;10;-1;0;40;175;2;320;10
360;10;1;0;40;175;2;400;10
360;10;0;1;10;200;3;360;20
720;10;-1;0;40;175;0;680;10
710;0;0;1;60;200;1;710;60
10;410;1;0;10;175;4;20;410
10;410;0;-1;40;200;5;10;370
10;410;0;1;40;200;5;10;450
360;410;1;0;120;175;6;480;410
360;410;-1;0;120;175;6;240;410
360;410;0;1;120;200;7;360;530
360;410;0;-1;120;200;7;360;290
710;410;-1;0;10;175;4;700;410
710;410;0;1;40;200;5;710;450
710;410;0;-1;40;200;5;710;370
0;810;1;0;40;175;0;40;810
10;820;0;-1;60;200;1;10;760
360;810;1;0;40;175;2;400;810
360;810;-1;0;40;175;2;320;810
360;810;0;-1;10;200;3;360;800
720;810;-1;0;40;175;0;680;810
710;820;0;-1;60;200;1;710;760
